student_id,education_level,programming_experience,math_background,ai_experience,career_goal,preferred_learning_mode,available_hours_per_week
S1001,BS Computer Science,Beginner,Average,,AI Engineer,Online,8
S1002,BS Software Engineering,Intermediate,Strong,Basic,Data Scientist,Hybrid,10
S1003,BS Information Technology,Beginner,Weak,,ML Engineer,Online,6
S1004,MS Computer Science,Advanced,Strong,Intermediate,AI Researcher,On-campus,15
S1005,BS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,12
S1006,BS Computer Science,Beginner,Weak,Basic,Data Scientist,Hybrid,8
S1007,BS Computer Science,Beginner,Average,Intermediate,AI Engineer,Online,8
S1008,BS Software Engineering,Intermediate,Average,Basic,AI Engineer,Online,10
S1009,BS Computer Science,Advanced,Strong,Intermediate,AI Engineer,Online,8
S1010,BS Software Engineering,Advanced,Weak,nan,Data Scientist,Hybrid,6
S1011,BS Computer Science,Beginner,Strong,nan,ML Engineer,Online,12
S1012,BS Information Technology,Beginner,Strong,Basic,AI Engineer,On-campus,8
S1013,BS Computer Science,Beginner,Average,nan,AI Engineer,Hybrid,8
S1014,BS Computer Science,Intermediate,Weak,nan,Data Scientist,Online,15
S1015,BS Information Technology,Advanced,Weak,Basic,ML Engineer,Online,10
S1016,BS Information Technology,Beginner,Average,Basic,AI Engineer,Hybrid,10
S1017,MS Computer Science,Advanced,Weak,Basic,Data Scientist,Online,8
S1018,BS Software Engineering,Beginner,Weak,Intermediate,ML Engineer,Online,10
S1019,BS Computer Science,Beginner,Strong,Intermediate,AI Researcher,On-campus,10
S1020,BS Information Technology,Intermediate,Strong,Basic,AI Engineer,Online,12
S1021,MS Computer Science,Intermediate,Strong,nan,Data Scientist,Hybrid,12
S1022,MS Computer Science,Beginner,Average,nan,Data Scientist,Hybrid,15
S1023,BS Computer Science,Beginner,Strong,Intermediate,AI Engineer,On-campus,12
S1024,BS Information Technology,Intermediate,Average,nan,AI Engineer,Online,6
S1025,BS Computer Science,Beginner,Strong,Basic,AI Researcher,Online,6
S1026,BS Computer Science,Intermediate,Average,nan,ML Engineer,Online,12
S1027,BS Software Engineering,Intermediate,Weak,Basic,AI Engineer,Online,8
S1028,BS Computer Science,Beginner,Strong,nan,AI Engineer,Online,6
S1029,BS Software Engineering,Beginner,Strong,Basic,AI Engineer,Online,15
S1030,BS Computer Science,Intermediate,Strong,Basic,AI Researcher,Online,10
S1031,BS Information Technology,Intermediate,Average,Intermediate,Data Scientist,Online,10
S1032,BS Information Technology,Advanced,Weak,Intermediate,AI Engineer,On-campus,8
S1033,BS Software Engineering,Intermediate,Average,nan,AI Engineer,Online,12
S1034,BS Software Engineering,Intermediate,Strong,nan,AI Engineer,Online,10
S1035,BS Computer Science,Beginner,Weak,nan,AI Engineer,Hybrid,6
S1036,MS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,15
S1037,BS Software Engineering,Advanced,Strong,Basic,AI Engineer,Online,15
S1038,BS Information Technology,Advanced,Strong,Intermediate,AI Engineer,Online,8
S1039,MS Computer Science,Beginner,Average,Basic,Data Scientist,Hybrid,12
S1040,MS Computer Science,Intermediate,Strong,Basic,ML Engineer,On-campus,10
S1041,BS Computer Science,Advanced,Average,nan,AI Engineer,Online,8
S1042,BS Computer Science,Intermediate,Strong,Intermediate,AI Researcher,On-campus,10
S1043,MS Computer Science,Beginner,Strong,Intermediate,AI Engineer,On-campus,6
S1044,MS Computer Science,Beginner,Strong,Basic,AI Researcher,Hybrid,10
S1045,BS Information Technology,Intermediate,Average,Basic,AI Engineer,Online,6
S1046,BS Computer Science,Beginner,Average,Intermediate,AI Engineer,Online,10
S1047,BS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,8
S1048,BS Software Engineering,Advanced,Average,Basic,Data Scientist,Online,12
S1049,BS Computer Science,Intermediate,Average,Intermediate,AI Engineer,Online,12
S1050,BS Information Technology,Beginner,Strong,nan,Data Scientist,Online,15
S1051,BS Software Engineering,Beginner,Strong,nan,AI Engineer,Online,15
S1052,BS Computer Science,Intermediate,Average,nan,AI Engineer,Hybrid,12
S1053,BS Information Technology,Intermediate,Weak,nan,Data Scientist,Online,6
S1054,BS Software Engineering,Advanced,Average,nan,AI Engineer,Online,8
S1055,BS Computer Science,Beginner,Average,Basic,ML Engineer,Online,8
S1056,BS Computer Science,Intermediate,Weak,nan,AI Engineer,Hybrid,6
S1057,BS Software Engineering,Beginner,Average,Intermediate,ML Engineer,Online,8
S1058,MS Computer Science,Beginner,Average,nan,ML Engineer,Hybrid,6
S1059,BS Software Engineering,Advanced,Average,Intermediate,AI Engineer,Online,8
S1060,BS Computer Science,Intermediate,Average,nan,ML Engineer,Online,12
S1061,BS Software Engineering,Advanced,Strong,nan,ML Engineer,Online,8
S1062,BS Information Technology,Intermediate,Strong,nan,ML Engineer,Online,15
S1063,BS Computer Science,Intermediate,Strong,Basic,Data Scientist,On-campus,8
S1064,BS Software Engineering,Beginner,Strong,Basic,ML Engineer,Hybrid,8
S1065,MS Computer Science,Beginner,Strong,Basic,Data Scientist,On-campus,6
S1066,BS Information Technology,Intermediate,Strong,nan,Data Scientist,On-campus,6
S1067,BS Information Technology,Beginner,Weak,nan,AI Engineer,On-campus,12
S1068,BS Information Technology,Beginner,Average,nan,Data Scientist,Online,6
S1069,BS Computer Science,Beginner,Average,Intermediate,ML Engineer,Online,15
S1070,BS Computer Science,Intermediate,Average,Intermediate,AI Engineer,Hybrid,6
S1071,BS Computer Science,Advanced,Average,Basic,AI Engineer,Hybrid,6
S1072,MS Computer Science,Beginner,Weak,Basic,ML Engineer,Online,6
S1073,BS Computer Science,Beginner,Strong,nan,AI Researcher,Online,12
S1074,BS Software Engineering,Intermediate,Strong,Intermediate,Data Scientist,Online,12
S1075,BS Information Technology,Advanced,Average,nan,ML Engineer,Online,10
S1076,MS Computer Science,Intermediate,Average,nan,AI Researcher,On-campus,15
S1077,BS Software Engineering,Intermediate,Strong,Basic,AI Engineer,Online,12
S1078,BS Computer Science,Beginner,Average,Basic,ML Engineer,Hybrid,10
S1079,BS Software Engineering,Beginner,Average,Basic,AI Researcher,Online,8
S1080,MS Computer Science,Advanced,Average,Basic,AI Researcher,On-campus,15
S1081,BS Software Engineering,Intermediate,Average,nan,AI Researcher,Hybrid,10
S1082,BS Computer Science,Advanced,Average,Basic,Data Scientist,Online,15
S1083,BS Software Engineering,Advanced,Average,Basic,AI Engineer,Online,15
S1084,BS Computer Science,Intermediate,Strong,Basic,AI Researcher,Hybrid,15
S1085,MS Computer Science,Beginner,Strong,nan,AI Engineer,On-campus,10
S1086,BS Information Technology,Advanced,Average,nan,Data Scientist,Online,6
S1087,BS Information Technology,Intermediate,Average,Basic,Data Scientist,Hybrid,15
S1088,BS Software Engineering,Intermediate,Average,Intermediate,AI Researcher,Online,12
S1089,MS Computer Science,Advanced,Average,Basic,AI Researcher,On-campus,12
S1090,BS Computer Science,Intermediate,Strong,Intermediate,AI Engineer,Online,6
S1091,MS Computer Science,Advanced,Average,Basic,AI Engineer,Hybrid,15
S1092,BS Software Engineering,Beginner,Strong,Intermediate,AI Engineer,On-campus,6
S1093,MS Computer Science,Intermediate,Strong,Basic,AI Engineer,Online,8
S1094,MS Computer Science,Intermediate,Average,nan,AI Engineer,On-campus,10
S1095,MS Computer Science,Intermediate,Average,nan,AI Researcher,Online,10
S1096,MS Computer Science,Beginner,Weak,Intermediate,ML Engineer,On-campus,6
S1097,BS Computer Science,Advanced,Average,Basic,AI Engineer,Online,10
S1098,BS Computer Science,Beginner,Average,Basic,Data Scientist,Online,12
S1099,BS Software Engineering,Intermediate,Strong,Intermediate,AI Engineer,Online,10
S1100,MS Computer Science,Beginner,Weak,Basic,AI Engineer,Online,8
S1101,BS Software Engineering,Beginner,Average,Basic,AI Engineer,Online,12
S1102,MS Computer Science,Advanced,Strong,nan,AI Engineer,Hybrid,8
S1103,BS Information Technology,Intermediate,Average,Basic,AI Engineer,Online,12
S1104,MS Computer Science,Beginner,Average,Basic,ML Engineer,Online,15
S1105,MS Computer Science,Beginner,Strong,nan,AI Researcher,Hybrid,15
S1106,BS Software Engineering,Intermediate,Weak,Basic,AI Engineer,On-campus,15
S1107,MS Computer Science,Intermediate,Weak,nan,Data Scientist,Online,6
S1108,MS Computer Science,Intermediate,Strong,Basic,AI Engineer,On-campus,6
S1109,BS Computer Science,Advanced,Weak,Basic,AI Researcher,Hybrid,6
S1110,BS Information Technology,Beginner,Weak,Basic,ML Engineer,Online,8
S1111,BS Computer Science,Intermediate,Average,Basic,AI Researcher,On-campus,12
S1112,BS Software Engineering,Advanced,Strong,Intermediate,AI Engineer,Online,6
S1113,BS Software Engineering,Advanced,Strong,nan,AI Engineer,Online,15
S1114,BS Computer Science,Intermediate,Weak,Intermediate,AI Engineer,Online,6
S1115,MS Computer Science,Beginner,Weak,nan,Data Scientist,Online,10
S1116,BS Information Technology,Beginner,Average,Basic,Data Scientist,Hybrid,15
S1117,BS Information Technology,Intermediate,Average,Basic,ML Engineer,Online,10
S1118,BS Information Technology,Intermediate,Weak,Basic,ML Engineer,Online,12
S1119,BS Software Engineering,Beginner,Average,nan,AI Engineer,Online,10
S1120,MS Computer Science,Beginner,Average,Basic,ML Engineer,On-campus,15
S1121,MS Computer Science,Beginner,Strong,nan,ML Engineer,On-campus,8
S1122,BS Computer Science,Advanced,Strong,nan,AI Engineer,Online,10
S1123,BS Software Engineering,Intermediate,Weak,nan,Data Scientist,Online,12
S1124,MS Computer Science,Intermediate,Average,Basic,Data Scientist,Online,15
S1125,MS Computer Science,Advanced,Weak,Basic,AI Researcher,Online,12
S1126,BS Computer Science,Beginner,Average,nan,Data Scientist,Hybrid,6
S1127,BS Computer Science,Intermediate,Strong,Basic,AI Engineer,Online,10
S1128,BS Computer Science,Advanced,Strong,Basic,AI Researcher,Online,8
S1129,BS Software Engineering,Beginner,Weak,Intermediate,AI Engineer,Hybrid,6
S1130,BS Computer Science,Intermediate,Strong,nan,AI Engineer,Hybrid,10
S1131,BS Information Technology,Intermediate,Average,nan,Data Scientist,Online,12
S1132,BS Computer Science,Beginner,Strong,nan,AI Researcher,Online,15
S1133,BS Information Technology,Intermediate,Average,Intermediate,AI Researcher,Online,12
S1134,BS Computer Science,Advanced,Weak,Basic,ML Engineer,Online,8
S1135,BS Software Engineering,Intermediate,Average,nan,ML Engineer,Online,8
S1136,BS Software Engineering,Advanced,Average,Intermediate,ML Engineer,Hybrid,12
S1137,MS Computer Science,Advanced,Average,Intermediate,ML Engineer,On-campus,6
S1138,BS Information Technology,Beginner,Strong,nan,AI Researcher,On-campus,6
S1139,MS Computer Science,Intermediate,Average,Intermediate,AI Engineer,Online,6
S1140,BS Information Technology,Beginner,Strong,Basic,AI Engineer,Online,15
S1141,MS Computer Science,Beginner,Strong,Basic,ML Engineer,Online,15
S1142,MS Computer Science,Beginner,Strong,nan,AI Engineer,Hybrid,6
S1143,MS Computer Science,Advanced,Average,nan,AI Engineer,Hybrid,10
S1144,BS Information Technology,Intermediate,Average,Basic,AI Researcher,Online,10
S1145,BS Computer Science,Advanced,Average,Basic,AI Researcher,Online,12
S1146,BS Information Technology,Advanced,Strong,Intermediate,Data Scientist,On-campus,12
S1147,BS Software Engineering,Advanced,Strong,Basic,AI Engineer,Hybrid,8
S1148,BS Information Technology,Advanced,Weak,Basic,ML Engineer,Online,6
S1149,BS Information Technology,Intermediate,Average,Intermediate,Data Scientist,On-campus,12
S1150,MS Computer Science,Beginner,Weak,Basic,AI Engineer,On-campus,15
S1151,BS Information Technology,Intermediate,Strong,Basic,AI Researcher,Hybrid,15
S1152,BS Computer Science,Beginner,Strong,Intermediate,AI Researcher,Hybrid,15
S1153,BS Computer Science,Intermediate,Average,Basic,ML Engineer,Online,15
S1154,BS Computer Science,Intermediate,Strong,nan,Data Scientist,On-campus,10
S1155,BS Computer Science,Advanced,Weak,nan,AI Engineer,On-campus,8
S1156,BS Information Technology,Intermediate,Strong,nan,AI Researcher,Online,8
S1157,BS Computer Science,Beginner,Strong,nan,Data Scientist,Online,15
S1158,BS Computer Science,Beginner,Strong,Basic,ML Engineer,Online,8
S1159,BS Information Technology,Beginner,Weak,nan,ML Engineer,On-campus,10
S1160,BS Software Engineering,Intermediate,Strong,Basic,Data Scientist,Hybrid,10
S1161,BS Computer Science,Intermediate,Strong,Basic,Data Scientist,On-campus,12
S1162,BS Software Engineering,Intermediate,Strong,nan,AI Researcher,Online,8
S1163,MS Computer Science,Beginner,Average,Basic,AI Engineer,On-campus,6
S1164,BS Computer Science,Beginner,Strong,nan,AI Researcher,Online,10
S1165,MS Computer Science,Advanced,Average,Basic,AI Researcher,Online,6
S1166,BS Computer Science,Beginner,Weak,nan,AI Researcher,Online,8
S1167,BS Computer Science,Beginner,Average,Intermediate,ML Engineer,Hybrid,12
S1168,BS Information Technology,Intermediate,Strong,Basic,ML Engineer,Hybrid,8
S1169,BS Computer Science,Beginner,Strong,nan,AI Engineer,Online,10
S1170,BS Computer Science,Beginner,Weak,Intermediate,Data Scientist,Hybrid,10
S1171,BS Computer Science,Beginner,Average,Basic,ML Engineer,Hybrid,6
S1172,MS Computer Science,Beginner,Weak,nan,AI Researcher,Online,10
S1173,BS Software Engineering,Advanced,Average,nan,AI Engineer,On-campus,8
S1174,BS Information Technology,Intermediate,Average,Intermediate,ML Engineer,Online,12
S1175,MS Computer Science,Beginner,Average,Basic,AI Researcher,Online,12
S1176,BS Computer Science,Beginner,Average,Basic,AI Engineer,On-campus,6
S1177,MS Computer Science,Beginner,Strong,nan,AI Engineer,Online,15
S1178,BS Computer Science,Beginner,Strong,Basic,Data Scientist,On-campus,15
S1179,BS Information Technology,Intermediate,Strong,Basic,Data Scientist,On-campus,8
S1180,MS Computer Science,Intermediate,Strong,nan,AI Engineer,Online,10
S1181,MS Computer Science,Advanced,Strong,nan,AI Engineer,Online,12
S1182,BS Information Technology,Beginner,Strong,nan,Data Scientist,Online,15
S1183,BS Computer Science,Intermediate,Average,nan,AI Engineer,Online,10
S1184,BS Software Engineering,Intermediate,Strong,nan,AI Engineer,Hybrid,12
S1185,BS Software Engineering,Intermediate,Weak,Basic,AI Engineer,Online,6
S1186,BS Software Engineering,Intermediate,Average,nan,Data Scientist,Online,8
S1187,BS Software Engineering,Beginner,Weak,Basic,AI Engineer,Online,8
S1188,BS Software Engineering,Beginner,Average,Basic,AI Researcher,Online,8
S1189,BS Computer Science,Advanced,Strong,nan,AI Engineer,Online,8
S1190,MS Computer Science,Intermediate,Strong,Basic,AI Engineer,Online,6
S1191,MS Computer Science,Beginner,Average,Intermediate,AI Researcher,On-campus,8
S1192,MS Computer Science,Advanced,Average,nan,ML Engineer,Online,10
S1193,BS Computer Science,Intermediate,Weak,Basic,AI Engineer,Online,6
S1194,MS Computer Science,Intermediate,Average,nan,AI Researcher,Online,12
S1195,MS Computer Science,Beginner,Average,Basic,Data Scientist,On-campus,15
S1196,BS Software Engineering,Advanced,Weak,Intermediate,AI Researcher,On-campus,8
S1197,BS Information Technology,Advanced,Weak,nan,ML Engineer,Hybrid,15
S1198,BS Computer Science,Beginner,Average,nan,AI Researcher,Online,6
S1199,BS Software Engineering,Intermediate,Average,Basic,AI Engineer,Online,6
S1200,BS Computer Science,Advanced,Weak,Intermediate,AI Engineer,Online,12
